Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,444538,5,100,COTTONOIL,COTTONOIL31MAR25,31-MAR-2025,FUTCOM,XX,0,0.1,
MCX,446484,5,100,COTTONOIL,COTTONOIL30APR25,30-APR-2025,FUTCOM,XX,0,0.1,
MCX,448165,5,100,COTTONOIL,COTTONOIL30MAY25,30-MAY-2025,FUTCOM,XX,0,0.1,
MCX,450655,5,100,COTTONOIL,COTTONOIL30JUN25,30-JUN-2025,FUTCOM,XX,0,0.1,
MCX,450122,250,1,NATGASMINI,NATGASMINI23APR25C420,23-APR-2025,OPTFUT,CE,420,0.05,
MCX,450126,250,1,NATGASMINI,NATGASMINI24MAR25P400,24-MAR-2025,OPTFUT,PE,400,0.05,
MCX,450127,250,1,NATGASMINI,NATGASMINI24MAR25P405,24-MAR-2025,OPTFUT,PE,405,0.05,
MCX,450128,250,1,NATGASMINI,NATGASMINI24MAR25P410,24-MAR-2025,OPTFUT,PE,410,0.05,
MCX,450129,250,1,NATGASMINI,NATGASMINI24MAR25P415,24-MAR-2025,OPTFUT,PE,415,0.05,
MCX,450130,250,1,NATGASMINI,NATGASMINI23APR25P410,23-APR-2025,OPTFUT,PE,410,0.05,
MCX,450131,250,1,NATGASMINI,NATGASMINI23APR25P415,23-APR-2025,OPTFUT,PE,415,0.05,
MCX,450132,250,1,NATGASMINI,NATGASMINI23APR25P420,23-APR-2025,OPTFUT,PE,420,0.05,
MCX,450390,250,1,NATGASMINI,NATGASMINI24MAR25C420,24-MAR-2025,OPTFUT,CE,420,0.05,
MCX,450391,250,1,NATGASMINI,NATGASMINI24MAR25C425,24-MAR-2025,OPTFUT,CE,425,0.05,
MCX,450392,250,1,NATGASMINI,NATGASMINI24MAR25C430,24-MAR-2025,OPTFUT,CE,430,0.05,
MCX,450393,250,1,NATGASMINI,NATGASMINI24MAR25C435,24-MAR-2025,OPTFUT,CE,435,0.05,
MCX,450394,250,1,NATGASMINI,NATGASMINI23APR25C425,23-APR-2025,OPTFUT,CE,425,0.05,
MCX,450395,250,1,NATGASMINI,NATGASMINI23APR25C430,23-APR-2025,OPTFUT,CE,430,0.05,
MCX,450396,250,1,NATGASMINI,NATGASMINI23APR25C435,23-APR-2025,OPTFUT,CE,435,0.05,
MCX,450397,250,1,NATGASMINI,NATGASMINI23APR25C440,23-APR-2025,OPTFUT,CE,440,0.05,
MCX,450404,250,1,NATGASMINI,NATGASMINI24MAR25P420,24-MAR-2025,OPTFUT,PE,420,0.05,
MCX,450405,250,1,NATGASMINI,NATGASMINI24MAR25P425,24-MAR-2025,OPTFUT,PE,425,0.05,
MCX,450406,250,1,NATGASMINI,NATGASMINI24MAR25P430,24-MAR-2025,OPTFUT,PE,430,0.05,
MCX,450407,250,1,NATGASMINI,NATGASMINI24MAR25P435,24-MAR-2025,OPTFUT,PE,435,0.05,
